city,state,population
"Islamorada, Village of Islands",Florida,6317
Mascotte,Florida,6315
Pahokee,Florida,6315
Dillon,South Carolina,6311
Pass Christian,Mississippi,6307
Schuyler,Nebraska,6303
Delano,Minnesota,6302
Waveland,Mississippi,6302
Forest Hills,Pennsylvania,6298
Boiling Spring Lakes,North Carolina,6287
Stone Mountain,Georgia,6281
California,Pennsylvania,6276
Rockaway,New Jersey,6276
St. Robert,Missouri,6275
Pigeon Forge,Tennessee,6266
Huntington Woods,Michigan,6265
Fort Meade,Florida,6257
Lake Alfred,Florida,6257
Port Isabel,Texas,6256
Morris Plains,New Jersey,6255
Hampshire,Illinois,6251
Columbiana,Ohio,6250
Corcoran,Minnesota,6250
St. James,North Carolina,6248
Walker,Louisiana,6248
Bellefonte,Pennsylvania,6241
New Whiteland,Indiana,6241
Orange Beach,Alabama,6235
Solvay,New York,6234
Newberry,Florida,6231
Jackson,Ohio,6230
Junction City,Oregon,6229
Boonville,Indiana,6227
Addis,Louisiana,6221
Fruit Heights,Utah,6221
Sheridan,Oregon,6215
Pea Ridge,Arkansas,6211
Blakely,Pennsylvania,6210
Corry,Pennsylvania,6208
Gun Barrel City,Texas,6208
Twin Lakes,Wisconsin,6204
Kennett Square,Pennsylvania,6202
Abilene,Kansas,6201
Everman,Texas,6201
Salem,Indiana,6201
Union Gap,Washington,6200
Satsuma,Alabama,6190
Braidwood,Illinois,6186
Sheridan,Colorado,6183
Orange City,Iowa,6182
Powell,Wyoming,6180
High Springs,Florida,6178
Port Clinton,Ohio,6176
Sidney,Montana,6173
Huntingburg,Indiana,6170
Pontotoc,Mississippi,6169
Clyde,Ohio,6166
East Aurora,New York,6160
Lanett,Alabama,6151
Holly,Michigan,6149
Bridgewater,Virginia,6145
Glenarden,Maryland,6143
Tequesta,Florida,6138
Elm Grove,Wisconsin,6136
Carlstadt,New Jersey,6132
Harriman,Tennessee,6132
Independence,Iowa,6124
Isanti,Minnesota,6120
Princeton,Kentucky,6115
Sidney,Nebraska,6115
Manistee,Michigan,6114
Bartonville,Illinois,6113
Pauls Valley,Oklahoma,6110
Munford,Tennessee,6109
Tarrant,Alabama,6109
Los Ranchos de Albuquerque,New Mexico,6108
Edgewood,New Mexico,6107
St. Helena,California,6102
Stewartville,Minnesota,6094
Shrewsbury,Missouri,6091
Larchmont,New York,6087
Ontario,Ohio,6084
Salida,Colorado,6082
Cherryville,North Carolina,6072
Hudson,New York,6072
Willows,California,6072
South Williamsport,Pennsylvania,6068
Colusa,California,6060
Childress,Texas,6048
Milan,Michigan,6042
Dacono,Colorado,6034
Union,Kentucky,6034
Tea,South Dakota,6031
Chesapeake Beach,Maryland,6030
Charles Town,West Virginia,6029
Cumberland,Indiana,6017
Willard,Ohio,6016
Franklin,Pennsylvania,6013
Chillicothe,Illinois,6012
Rushville,Indiana,6008
Watchung,New Jersey,6006
Davenport,Florida,6005
Portland,Indiana,6002
Elburn,Illinois,5997
Snowflake,Arizona,5995
Zimmerman,Minnesota,5995
Kingston,Tennessee,5994
Rochester,Indiana,5994
Maquoketa,Iowa,5990
Monticello,Kentucky,5988
Winfield,Indiana,5987
District Heights,Maryland,5984
Lake Mills,Wisconsin,5983
Louisville,Mississippi,5983
Alpine,Texas,5982
Pevely,Missouri,5978
Hillsboro,Illinois,5970
North Hills,New York,5969
Waupaca,Wisconsin,5969
Lakemoor,Illinois,5967
Steelton,Pennsylvania,5962
Northville,Michigan,5958
East Alton,Illinois,5954
Metropolis,Illinois,5945
Progreso,Texas,5944
Darlington,South Carolina,5940
Yoakum,Texas,5940
Raton,New Mexico,5938
Geneva,Ohio,5937
Countryside,Illinois,5933
Taos,New Mexico,5929
Dumfries,Virginia,5922
Homer,Alaska,5922
Wesley Hills,New York,5919
Erwin,Tennessee,5918
Zebulon,North Carolina,5917
Granville,Ohio,5916
Roanoke,Alabama,5913
Taylor,Pennsylvania,5913
Selinsgrove,Pennsylvania,5902
Oelwein,Iowa,5900
Norwood,Pennsylvania,5897
Sweetwater,Tennessee,5895
Old Tappan,New Jersey,5894
Rupert,Idaho,5893
Loudon,Tennessee,5890
Slaton,Texas,5890
Jamesburg,New Jersey,5885
Gustine,California,5882
Nolanville,Texas,5879
Columbia Falls,Montana,5876
Windcrest,Texas,5876
Brookville,Ohio,5874
Elsmere,Delaware,5872
Luling,Texas,5869
Glendale,Missouri,5866
Hutchins,Texas,5866
Westville,Indiana,5866
Margate City,New Jersey,5865
Posen,Illinois,5865
Alma,Arkansas,5864
McKees Rocks,Pennsylvania,5855
Somerset,Pennsylvania,5855
Paulsboro,New Jersey,5854
Mount Arlington,New Jersey,5852
Richmond,Michigan,5849
Carterville,Illinois,5847
Littlefield,Texas,5843
Prospect Park,New Jersey,5843
Rensselaer,Indiana,5842
Willow Park,Texas,5842
Clearfield,Pennsylvania,5839
Woodcliff Lake,New Jersey,5839
Cave Creek,Arizona,5838
Solvang,California,5838
Columbia,Mississippi,5837
Roseland,New Jersey,5835
Greenwood,Missouri,5833
Moosic,Pennsylvania,5832
Hellertown,Pennsylvania,5831
St. Martinville,Louisiana,5820
Brookshire,Texas,5816
Okeechobee,Florida,5816
Kodiak,Alaska,5813
Volo,Illinois,5813
International Falls,Minnesota,5811
Manasquan,New Jersey,5806
Marianna,Florida,5803
Lewistown,Montana,5801
West Bountiful,Utah,5800
Mount Zion,Illinois,5795
Plymouth,Pennsylvania,5794
Bay Harbor Islands,Florida,5793
Norwood,New Jersey,5793
Patterson,Louisiana,5792
Villa Park,California,5790
The Village of Indian Hill,Ohio,5786
Little Silver,New Jersey,5782
Edna,Texas,5780
Peoria Heights,Illinois,5779
Hilton,New York,5777
Sylvester,Georgia,5776
Palmview,Texas,5774
Gas City,Indiana,5772
Attalla,Alabama,5771
Crafton,Pennsylvania,5770
Washingtonville,New York,5770
White City metroship,Utah,5768
Trenton,Missouri,5763
Oak Point,Texas,5762
Dickson City,Pennsylvania,5761
Petoskey,Michigan,5756
Truth or Consequences,New Mexico,5753
Sansom Park,Texas,5748
Asbury,Iowa,5747
North Manchester,Indiana,5747
Fort Wright,Kentucky,5745
Belding,Michigan,5740
Warrenton,Oregon,5739
Eaton,Colorado,5738
Fair Haven,New Jersey,5736
Albion,New York,5735
Central City,Kentucky,5730
Mount Carmel,Pennsylvania,5724
Oceanport,New Jersey,5722
Bellevue,Kentucky,5721
Paola,Kansas,5719
Monroeville,Alabama,5718
South Tucson,Arizona,5715
Dripping Springs,Texas,5708
Lebanon,Kentucky,5708
Lewisburg,Pennsylvania,5708
Clarion,Pennsylvania,5707
Douglass Hills,Kentucky,5707
Grafton,Ohio,5707
Spring Grove,Illinois,5706
Punxsutawney,Pennsylvania,5704
Belle Fourche,South Dakota,5702
Chickasaw,Alabama,5702
Nazareth,Pennsylvania,5702
Fellsmere,Florida,5695
Sharon Hill,Pennsylvania,5689
Media,Pennsylvania,5682
New Brighton,Pennsylvania,5679
Princeton,West Virginia,5675
Hollidaysburg,Pennsylvania,5674
Du Quoin,Illinois,5670
Dowagiac,Michigan,5669
Webster,New York,5667
Estherville,Iowa,5666
Philomath,Oregon,5666
Greenbrier,Arkansas,5665
Hartford City,Indiana,5660
Wayne,Nebraska,5660
Medina,New York,5656
Gardiner,Maine,5653
Richmond,Missouri,5653
Wilmington,Illinois,5653
Surfside,Florida,5651
Pontoon Beach,Illinois,5641
Byron,Minnesota,5639
Willard,Missouri,5632
Edgerton,Wisconsin,5631
Milton,Wisconsin,5627
Groveport,Ohio,5621
Willow Springs,Illinois,5621
Jonesborough,Tennessee,5611
Dayton,Kentucky,5609
Cottleville,Missouri,5608
Blaine,Washington,5607
Ulysses,Kansas,5604
Rusk,Texas,5602
Malone,New York,5600
Leesville,Louisiana,5598
Semmes,Alabama,5594
Warren,Arkansas,5587
Bowling Green,Missouri,5585
Tonganoxie,Kansas,5583
Marlin,Texas,5581
Oxford,Pennsylvania,5581
Bessemer City,North Carolina,5577
Prairie du Chien,Wisconsin,5572
New Carlisle,Ohio,5568
Deer Park,Ohio,5566
Henryetta,Oklahoma,5566
Shippensburg,Pennsylvania,5565
Slinger,Wisconsin,5565
Cheraw,South Carolina,5562
Lake Bluff,Illinois,5562
Waterford,Wisconsin,5562
Marion,Virginia,5559
Stroudsburg,Pennsylvania,5558
Duquesne,Pennsylvania,5557
Preston,Idaho,5557
Nashville,North Carolina,5554
Berryville,Arkansas,5550
Belmar,New Jersey,5545
Connell,Washington,5545
Ada,Ohio,5544
Glencoe,Minnesota,5544
Wappingers Falls,New York,5544
Exeter,Pennsylvania,5541
Creswell,Oregon,5540
Waterville,Ohio,5539
Covington,Virginia,5538
Anamosa,Iowa,5537
Forest,Mississippi,5536
Zeeland,Michigan,5536
Monticello,Illinois,5534
Pelham Manor,New York,5534
Weldon Spring,Missouri,5533
Frankenmuth,Michigan,5529
Falcon Heights,Minnesota,5528
Dos Palos,California,5527
Germantown,Ohio,5519
Edinboro,Pennsylvania,5515
Winston,Oregon,5511
Wellston,Ohio,5507
Rockdale,Texas,5503
Holdenville,Oklahoma,5501
Swartz Creek,Michigan,5501
Mena,Arkansas,5490
Stokesdale,North Carolina,5489
Wolfforth,Texas,5486
Carlinville,Illinois,5481
Peculiar,Missouri,5478
Somerdale,New Jersey,5477
Atlanta,Texas,5472
Bath,New York,5472
Indian Wells,California,5470
Charleston,Missouri,5468
Cameron,Texas,5464
New Holland,Pennsylvania,5464
Woodside,California,5458
Adel,Iowa,5455
Terrell Hills,Texas,5447
Beardstown,Illinois,5446
Carlisle,Ohio,5446
Centerville,Iowa,5445
Evansville,Wisconsin,5440
Robbins,Illinois,5438
Northwood,Ohio,5434
Vail,Colorado,5434
Fruitland,Idaho,5426
Walterboro,South Carolina,5426
Rockwood,Tennessee,5425
Coraopolis,Pennsylvania,5424
Breckenridge,Texas,5423
Starke,Florida,5422
Monaca,Pennsylvania,5421
Brush,Colorado,5420
Chelsea,Michigan,5416
Angier,North Carolina,5415
Batesburg-Leesville,South Carolina,5415
Chadron,Nebraska,5412
New Hempstead,New York,5410
Coal City,Illinois,5409
Canal Fulton,Ohio,5408
Holdrege,Nebraska,5408
Williams,California,5408
Salamanca,New York,5402
Valparaiso,Florida,5401
Sandersville,Georgia,5399
Algona,Iowa,5397
Buckhannon,West Virginia,5394
New Castle,Delaware,5392
Smiths Station,Alabama,5391
Manitou Springs,Colorado,5390
Glenwood,Iowa,5389
Sultan,Washington,5388
Northfield,Illinois,5386
Berlin,Wisconsin,5385
Central,South Carolina,5385
Winterset,Iowa,5383
Chester,South Carolina,5377
Pana,Illinois,5376
Weiser,Idaho,5376
Pinckneyville,Illinois,5372
Colby,Kansas,5370
Goshen,New York,5370
Kaser,New York,5368
Clarinda,Iowa,5366
Sayre,Pennsylvania,5366
Sunset,Utah,5364
Waynesboro,Georgia,5363
Carrizo Springs,Texas,5362
St. Paul Park,Minnesota,5362
Ward,Arkansas,5358
Tillamook,Oregon,5355
Englewood Cliffs,New Jersey,5354
Sinton,Texas,5354
Anthony,Texas,5352
North Oaks,Minnesota,5351
Caruthersville,Missouri,5348
Emporia,Virginia,5346
Travelers Rest,South Carolina,5346
Macon,Missouri,5341
Marksville,Louisiana,5338
Adel,Georgia,5336
Moab,Utah,5336
Palmerton,Pennsylvania,5336
Edgewater,Colorado,5335
Morris,Minnesota,5333
Lafayette,Tennessee,5332
McGregor,Texas,5331
Wake Village,Texas,5327
Shillington,Pennsylvania,5319
McKenzie,Tennessee,5315
Uhrichsville,Ohio,5314
Lehighton,Pennsylvania,5313
Vinita,Oklahoma,5311
Fruitland,Maryland,5309
Fairport,New York,5305
Union Beach,New Jersey,5305
Hightstown,New Jersey,5304
Brady,Texas,5302
Bulverde,Texas,5300
Whiteville,North Carolina,5299
Waynesville,Missouri,5295
Mount Carmel,Tennessee,5294
Kings Point,New York,5292
Eureka,Illinois,5283
Midway,Utah,5280
Big Bear Lake,California,5279
St. Clair,Michigan,5279
Cave Springs,Arkansas,5276
Red Oak,Iowa,5276
Wadesboro,North Carolina,5275
Williamsburg,Kentucky,5274
Ripley,Mississippi,5273
Greenville,Pennsylvania,5272
Hawkinsville,Georgia,5270
Rothschild,Wisconsin,5267
Iola,Kansas,5266
Woodstock,Virginia,5258
Mocksville,North Carolina,5252
Perry,Utah,5248
Calistoga,California,5247
Odessa,Missouri,5246
Eaton Rapids,Michigan,5245
Poolesville,Maryland,5244
Monticello,Indiana,5243
Livingston,Texas,5242
Osceola,Iowa,5242
Walkertown,North Carolina,5242
Jackson,Georgia,5239
Ranson corporation,West Virginia,5239
Genoa,Illinois,5237
Richlands,Virginia,5234
Bangor,Pennsylvania,5228
Hollywood,South Carolina,5227
Ballston Spa,New York,5226
Byron,Georgia,5226
Bisbee,Arizona,5225
Chisago City,Minnesota,5224
Highwood,Illinois,5224
Savannah,Missouri,5223
LaBelle,Florida,5221
Williamsville,New York,5220
Jeanerette,Louisiana,5218
Elmsford,New York,5216
Brewton,Alabama,5210
Aberdeen,Mississippi,5205
Diboll,Texas,5204
Linton,Indiana,5204
New Castle,Colorado,5203
Williamston,North Carolina,5202
Saranac Lake,New York,5200
South Bay,Florida,5200
Thatcher,Arizona,5200
Springfield,Michigan,5198
Obetz,Ohio,5196
DeWitt,Iowa,5192
Sawmills,North Carolina,5189
Parker,Texas,5177
Dunlap,Tennessee,5176
Center,Texas,5175
Collegeville,Pennsylvania,5174
Creve Coeur,Illinois,5169
Archer Lodge,North Carolina,5159
Chardon,Ohio,5159
Titusville,Pennsylvania,5158
Erwin,North Carolina,5156
Spirit Lake,Iowa,5155
Grosse Pointe,Michigan,5154
Grambling,Louisiana,5150
Birdsboro,Pennsylvania,5143
Gilmer,Texas,5143
Bristol,Wisconsin,5142
Ayden,North Carolina,5141
Glendale,Colorado,5141
St. Clairsville,Ohio,5141
Tyrone,Pennsylvania,5139
Turtle Creek,Pennsylvania,5138
Margaret,Alabama,5137
Big Stone Gap,Virginia,5132
Nelsonville,Ohio,5130
Primera,Texas,5130
Sergeant Bluff,Iowa,5127
Spring Valley,Illinois,5125
Flagler Beach,Florida,5123
Rainsville,Alabama,5123
Lake City,Minnesota,5122
Kenneth City,Florida,5121
Lone Grove,Oklahoma,5121
Colona,Illinois,5120
Columbus,Wisconsin,5120
New Martinsville,West Virginia,5118
Post,Texas,5115
Bowie,Texas,5114
Union Grove,Wisconsin,5111
Utica,Michigan,5107
Schuylkill Haven,Pennsylvania,5106
Poplar Grove,Illinois,5104
Buellton,California,5102
Daleville,Alabama,5102
Belleview,Florida,5101
Giddings,Texas,5099
Johnstown,Ohio,5098
Orange,Virginia,5096
South Pasadena,Florida,5095
Hugo,Oklahoma,5092
Granite Shoals,Texas,5087
Holbrook,Arizona,5084
Sheldon,Iowa,5082
Crestwood,Kentucky,5081
North Fond du Lac,Wisconsin,5081
Kutztown,Pennsylvania,5080
Fox Chapel,Pennsylvania,5076
Vinton,Iowa,5075
Glencoe,Alabama,5071
Eastman,Georgia,5067
Munroe Falls,Ohio,5063
Saltillo,Mississippi,5062
Walnut Ridge,Arkansas,5062
Monee,Illinois,5061
Polson,Montana,5060
Iowa Falls,Iowa,5059
Buckley,Washington,5058
Gretna,Nebraska,5058
Veneta,Oregon,5056
Chestertown,Maryland,5051
Berkeley,Illinois,5048
Carver,Minnesota,5046
Dundee,Florida,5044
Montevideo,Minnesota,5043
Sulphur,Oklahoma,5043
Summit,Wisconsin,5041
Amelia,Ohio,5039
Folkston,Georgia,5037
Mechanicville,New York,5037
Barling,Arkansas,5036
La Crescent,Minnesota,5029
Worland,Wyoming,5024
Olyphant,Pennsylvania,5023
Allegan,Michigan,5020
Glennville,Georgia,5020
Sea Cliff,New York,5020
Muleshoe,Texas,5019
Krum,Texas,5018
West Salem,Wisconsin,5015
Abbeville,South Carolina,5014
Camilla,Georgia,5012
Wapato,Washington,5010
Hoopeston,Illinois,5009
Swoyersville,Pennsylvania,5009
Lakeport,California,5006
Hudson,Texas,5005
Oak Park Heights,Minnesota,5003
Madisonville,Tennessee,5002
Midfield,Alabama,5002
Lawrenceburg,Indiana,5001
Timnath,Colorado,4998
Dellwood,Missouri,4997
South Barrington,Illinois,4996
Cochran,Georgia,4993
Milan,Illinois,4991
Concordia,Kansas,4987
Manchester,Iowa,4986
Aledo,Texas,4985
Grafton,West Virginia,4982
Needles,California,4976
Tipton,Indiana,4970
Alexandria,Indiana,4968
Medical Lake,Washington,4966
Adairsville,Georgia,4963
Redwood Falls,Minnesota,4963
White Hall,Arkansas,4963
Jonesboro,Georgia,4962
Polk City,Iowa,4961
Clementon,New Jersey,4957
Raeford,North Carolina,4956
Platte City,Missouri,4955
Becker,Minnesota,4954
Staunton,Illinois,4954
Alva,Oklahoma,4953
Cicero,Indiana,4953
Kingsford,Michigan,4951
Richland Center,Wisconsin,4951
Westlake,Louisiana,4951
Sparta,Tennessee,4949
Wildwood,New Jersey,4948
Breckenridge,Colorado,4945
Centreville,Maryland,4944
Eagar,Arizona,4941
Circle Pines,Minnesota,4938
Bolivar,Tennessee,4936
Fairfield,Illinois,4936
Maize,Kansas,4934
Pleasant Garden,North Carolina,4932
Kanab,Utah,4931
Long View,North Carolina,4930
Sheridan,Arkansas,4929
Northvale,New Jersey,4927
Penn Yan,New York,4925
Toronto,Ohio,4923
Salem,Missouri,4919
Keyser,West Virginia,4915
Midway,North Carolina,4912
Wellington,Ohio,4912
Denver City,Texas,4911
Glendive,Montana,4910
Kingfisher,Oklahoma,4908
New Haven,Michigan,4907
Prospect,Kentucky,4905
Sugarcreek,Pennsylvania,4904
Bridgeville,Pennsylvania,4903
Winona Lake,Indiana,4902
Hamilton,Montana,4898
Silverthorne,Colorado,4898
Centreville,Illinois,4897
Mount Pleasant,Tennessee,4897
Lake Worth,Texas,4896
Aubrey,Texas,4895
Demarest,New Jersey,4894
Telford,Pennsylvania,4894
Mayville,Wisconsin,4890
Willits,California,4890
Flower Hill,New York,4889
Island Park,New York,4886
Smithville,Tennessee,4886
Desloge,Missouri,4882
Davison,Michigan,4881
Benson,Arizona,4880
Vandergrift,Pennsylvania,4875
Waterloo,New York,4872
Ironwood,Michigan,4870
Cherokee,Iowa,4869
Hunters Creek Village,Texas,4869
Lake Barrington,Illinois,4868
Tucumcari,New Mexico,4867
Berlin,Maryland,4866
Clarks Summit,Pennsylvania,4865
Sonora,California,4864
Hazard,Kentucky,4860
Duryea,Pennsylvania,4852
Flora,Illinois,4852
Manchester,Maryland,4851
Nashville,Georgia,4851
Palmetto,Georgia,4851
Chittenango,New York,4850
Chisholm,Minnesota,4849
Manheim,Pennsylvania,4849
Luray,Virginia,4848
Mendham,New Jersey,4847
Whitehouse,Ohio,4845
Jackson,California,4840
Normandy,Missouri,4838
Bluefield,Virginia,4837
Childersburg,Alabama,4837
Perry,Oklahoma,4837
Colorado City,Arizona,4836
Marseilles,Illinois,4834
Porter,Indiana,4834
Colville,Washington,4832
Green Tree,Pennsylvania,4832
Arnold,Pennsylvania,4831
Devine,Texas,4829
West Milton,Ohio,4828
Stone Park,Illinois,4826
Hummelstown,Pennsylvania,4823
Forest Hills,Tennessee,4820
Shenandoah,Iowa,4820
Falfurrias,Texas,4812
Carmi,Illinois,4811
Edgefield,South Carolina,4810
Windsor Heights,Iowa,4809
DeWitt,Michigan,4808
Waynesboro,Mississippi,4805
Dallas,North Carolina,4797
Hyde Park,Utah,4797
Goddard,Kansas,4796
Hickory Creek,Texas,4795
Pleasant View,Tennessee,4795
Temple,Georgia,4795
Crossett,Arkansas,4794
Middletown,Maryland,4792
Olympia Fields,Illinois,4790
Wauchula,Florida,4786
Wolverine Lake,Michigan,4783
Carthage,Mississippi,4782
Black Diamond,Washington,4781
Omak,Washington,4778
Elko New Market,Minnesota,4774
Springhill,Louisiana,4772
Wilmer,Texas,4772
Ashland City,Tennessee,4767
Watseka,Illinois,4767
Harlan,Iowa,4766
Mineola,Texas,4766
Whiting,Indiana,4765
Farmville,North Carolina,4764
Ahoskie,North Carolina,4763
West Pittston,Pennsylvania,4761
Shenandoah,Pennsylvania,4760
Mattawa,Washington,4758
Penns Grove,New Jersey,4757
Royersford,Pennsylvania,4755
Brent,Alabama,4747
Bloomfield,Wisconsin,4746
Evansdale,Iowa,4743
McLoud,Oklahoma,4743
Port Allen,Louisiana,4743
Nowthen,Minnesota,4741
Seat Pleasant,Maryland,4738
Palos Park,Illinois,4736
Wamego,Kansas,4732
Mead,Colorado,4731
Harrington Park,New Jersey,4730
Princeton,Minnesota,4729
Silverton,Ohio,4727
Rocky Mount,Virginia,4724
Edwardsville,Pennsylvania,4723
Franklin,New Jersey,4721
Lindstrom,Minnesota,4720
Soldotna,Alaska,4719
Penitas,Texas,4716
Crystal Springs,Mississippi,4715
Dexter,Michigan,4715
Mathis,Texas,4715
Highlands,New Jersey,4714
Headland,Alabama,4712
St. Clair,Missouri,4712
Eldon,Missouri,4706
Salem,New Jersey,4706
Baldwin City,Kansas,4700
Crystal City,Missouri,4700
Fountain Hill,Pennsylvania,4699
Gladstone,Michigan,4698
Pittsburg,Texas,4697
Dodgeville,Wisconsin,4695
Mountain Grove,Missouri,4690
Cheboygan,Michigan,4686
Clinton,Indiana,4686
Madisonville,Texas,4685
Morgan's Point Resort,Texas,4685
New Freedom,Pennsylvania,4685
Westmont,Pennsylvania,4685
Cornelia,Georgia,4683
Lexington,Ohio,4682
Sherman,Illinois,4679
La Grange,Texas,4677
Brisbane,California,4671
New Lexington,Ohio,4671
North Braddock,Pennsylvania,4669
South Lebanon,Ohio,4668
Brielle,New Jersey,4666
Osage Beach,Missouri,4666
Winchester,Indiana,4665
Cherokee Village,Arkansas,4661
Sandy Oaks,Texas,4660
Baxley,Georgia,4659
Carolina Shores,North Carolina,4659
Granite Falls,North Carolina,4659
Jim Thorpe,Pennsylvania,4657
Wayzata,Minnesota,4657
Tulia,Texas,4655
Phoenix,Oregon,4653
Danville,Pennsylvania,4648
Jackson,Alabama,4642
Little Falls,New York,4637
Lemoyne,Pennsylvania,4634
Rio Bravo,Texas,4634
Mansfield,Louisiana,4624
Auburn,Illinois,4623
Vilonia,Arkansas,4623
Rock Hill,Missouri,4620
Daytona Beach Shores,Florida,4614
Edenton,North Carolina,4614
Old Westbury,New York,4614
Creedmoor,North Carolina,4612
Higginsville,Missouri,4609
New Boston,Texas,4609
Haskell,Arkansas,4605
Columbia,Kentucky,4604
Dundee,Michigan,4601
Neptune City,New Jersey,4596
Wingate,North Carolina,4594
Montebello,New York,4593
Hollister,Missouri,4592
Meadows Place,Texas,4591
Newport,North Carolina,4591
Edinburgh,Indiana,4590
Verdigris,Oklahoma,4590
Humboldt,Iowa,4587
Mount Ephraim,New Jersey,4587
Coopertown,Tennessee,4586
Plain City,Ohio,4586
Farrell,Pennsylvania,4580
Mount Olive,North Carolina,4578
Flemington,New Jersey,4577
Buffalo,Wyoming,4575
Fox River Grove,Illinois,4573
Blakely,Georgia,4571
North Kansas City,Missouri,4571
West York,Pennsylvania,4571
Bridgeport,Pennsylvania,4570
Portola Valley,California,4568
Breckenridge Hills,Missouri,4566
Coldwater,Ohio,4562
Donora,Pennsylvania,4562
Louisburg,Kansas,4562
Ellisville,Mississippi,4559
Greenfield,Ohio,4556
Rio Communities,New Mexico,4552
Point Pleasant Beach,New Jersey,4551
Columbiana,Alabama,4550
Winnsboro,Louisiana,4550
Wahoo,Nebraska,4548
Aurora,Nebraska,4547
Oconto,Wisconsin,4545
Canastota,New York,4544
Social Circle,Georgia,4544
Dardanelle,Arkansas,4541
Scottsville,Kentucky,4541
Wiggins,Mississippi,4541
Avalon,Pennsylvania,4537
Boiling Springs,North Carolina,4535
Palacios,Texas,4535
Piedmont,Alabama,4535
Lexington,Missouri,4534
Millsboro,Delaware,4533
Whiteland,Indiana,4532
Luverne,Minnesota,4531
Alvarado,Texas,4530
Watertown,Minnesota,4529
Montgomery,New York,4528
Negaunee,Michigan,4525
Pilot Point,Texas,4525
Surfside Beach,South Carolina,4525
Spring Lake Heights,New Jersey,4521
Gibraltar,Michigan,4519
Winfield,Alabama,4519
South Bound Brook,New Jersey,4518
Reminderville,Ohio,4517
Oak Hill,Tennessee,4516
Rockford,Minnesota,4515
Smithville,Texas,4515
Capitol Heights,Maryland,4514
Denton,Maryland,4512
Littlestown,Pennsylvania,4510
Mount Vernon,Missouri,4508
Buhl,Idaho,4507
Hancock,Michigan,4506
Sauk Centre,Minnesota,4505
East Petersburg,Pennsylvania,4504
Ludlow,Kentucky,4504
Ardsley,New York,4502
Tallassee,Alabama,4502
Ogallala,Nebraska,4497
Edwardsville,Kansas,4495
Shelbyville,Illinois,4495
Florence,Mississippi,4494
Dilley,Texas,4489
Ottawa Hills,Ohio,4488
Jamestown,North Carolina,4487
Sayre,Oklahoma,4486
Breese,Illinois,4483
New Roads,Louisiana,4480
Paradise,California,4476
Bremen,Indiana,4474
Jonesboro,Louisiana,4473
Walhalla,South Carolina,4472
Newton Falls,Ohio,4471
Castle Hills,Texas,4470
Pinetop-Lakeside,Arizona,4469
Scott City,Missouri,4468
Utqiagvik,Alaska,4467
Mount Vernon,Iowa,4466
Shelley,Idaho,4466
Algood,Tennessee,4463
Benton,Kentucky,4463
Cramerton,North Carolina,4458
Whiteville,Tennessee,4456
Belton,South Carolina,4455
West Peoria,Illinois,4455
Beaufort,North Carolina,4452
Grayson,Georgia,4452
La Verkin,Utah,4446
Hartwell,Georgia,4437
Amite City,Louisiana,4436
Manlius,New York,4434
Mary Esther,Florida,4434
Rockmart,Georgia,4433
Saukville,Wisconsin,4433
Sullivan,Illinois,4433
Unalaska,Alaska,4432
Prairie du Sac,Wisconsin,4431
West Jefferson,Ohio,4431
Beecher,Illinois,4427
Crestline,Ohio,4425
East Palestine,Ohio,4424
Russell,Kansas,4423
Dilworth,Minnesota,4422
Kaplan,Louisiana,4422
Jenkintown,Pennsylvania,4420
Marlow,Oklahoma,4420
Valdese,North Carolina,4420
Berwick,Louisiana,4419
Perryville,Maryland,4419
Woodruff,South Carolina,4418
California,Missouri,4416
Ste. Genevieve,Missouri,4416
Senoia,Georgia,4412
Cortland,Illinois,4408
King City,Oregon,4408
Goodland,Kansas,4406
Jourdanton,Texas,4405
Sheffield,Ohio,4402
Viroqua,Wisconsin,4402
Ashdown,Arkansas,4400
Jessup,Pennsylvania,4400
St. James,Minnesota,4400
Lawrenceville,Illinois,4399
Montoursville,Pennsylvania,4399
Sparta,Michigan,4399
Clarkdale,Arizona,4391
Clintonville,Wisconsin,4391
Holts Summit,Missouri,4391
Hurstbourne,Kentucky,4388
Coopersville,Michigan,4387
Nashville,Arkansas,4386
Windom,Minnesota,4386
Ashville,Ohio,4385
Larksville,Pennsylvania,4385
Jacksboro,Texas,4384
Argyle,Texas,4381
Ligonier,Indiana,4379
Van Alstyne,Texas,4378
Rogersville,Tennessee,4377
Cornwall,Pennsylvania,4376
Wellsville,New York,4375
Caldwell,Texas,4373
Dansville,New York,4373
Berryville,Virginia,4371
Pendleton,Indiana,4371
Pittsboro,North Carolina,4368
Venus,Texas,4368
Euharlee,Georgia,4367
Tarentum,Pennsylvania,4366
Camanche,Iowa,4365
Deer Park,Washington,4364
Tuscola,Illinois,4363
Church Point,Louisiana,4361
Isle of Palms,South Carolina,4360
Tontitown,Arkansas,4358
Ottawa,Ohio,4357
Cobleskill,New York,4356
Laurel,Delaware,4356
Hamburg,Pennsylvania,4355
Mauston,Wisconsin,4355
West Hazleton,Pennsylvania,4355
Hearne,Texas,4354
Garwood,New Jersey,4352
Atlantic Highlands,New Jersey,4351
Shallotte,North Carolina,4351
South Hill,Virginia,4349
Argo,Alabama,4348
Harrogate,Tennessee,4348
South Haven,Michigan,4348
Canton,North Carolina,4347
Greendale,Indiana,4341
Narberth,Pennsylvania,4336
St. Bernard,Ohio,4336
